-0.9833   0.18634E+04
-0.9500   0.14576E+04
-0.9167   0.11402E+04
-0.8833   0.89188E+03
-0.8500   0.69766E+03
-0.8167   0.54573E+03
-0.7833   0.42688E+03
-0.7500   0.33392E+03
-0.7167   0.26120E+03
-0.6833   0.20432E+03
-0.6500   0.15982E+03
-0.6167   0.12502E+03
-0.5833   0.97792E+02
-0.5500   0.76494E+02
-0.5167   0.59833E+02
-0.4833   0.46798E+02
-0.4500   0.36594E+02
-0.4167   0.28599E+02
-0.3833   0.22315E+02
-0.3500   0.17338E+02
-0.3167   0.13317E+02
-0.2833   0.99134E+01
-0.2500   0.67794E+01
-0.2167   0.36832E+01
-0.1833   0.10720E+01
-0.1500   0.57410E-01
-0.1167   0.31173E-04
-0.0833   0.66112E-13
-0.0500   0.30061E-36
-0.0167   0.00000E+00
 0.0167   0.00000E+00
 0.0500   0.00000E+00
 0.0833   0.00000E+00
 0.1167   0.00000E+00
 0.1500   0.00000E+00
 0.1833   0.00000E+00
 0.2167   0.00000E+00
 0.2500   0.00000E+00
 0.2833   0.00000E+00
 0.3167   0.00000E+00
 0.3500   0.00000E+00
 0.3833   0.00000E+00
 0.4167   0.00000E+00
 0.4500   0.00000E+00
 0.4833   0.00000E+00
 0.5167   0.00000E+00
 0.5500   0.00000E+00
 0.5833   0.00000E+00
 0.6167   0.00000E+00
 0.6500   0.00000E+00
